,number,name,name_higher,short,desc,info,info2,year
5,2123,Lastensuojelun perhehoito,Erittelemätön lastensuojelun sijaishuolto,,Lastensuojelun perhehoito (ns. sijaisperhehoito),Sisältää myös avohuollon sijoituksena (Lastensuojelulaki 37§) toteutetun perhehoidon. ,,2022
3,2121,Lastensuojelun ammatillinen perhehoito,Erittelemätön lastensuojelun sijaishuolto,,Lastensuojelun ammatillinen perhehoito (annetaan lupaviranomaiselta saadun luvan perusteella toimivassa ammatillisessa perhekodissa),Sisältää myös avohuollon sijoituksena (Lastensuojelulaki 37§) toteutetun ammatilliseen perhehoidon. ,,2022
2,2120,Erittelemätön lastensuojelun sijaishuolto,Erittelemätön lastensuojelun sijaishuolto,,Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa.,"Luokalle kirjataan lastensuojelun ammatillinen perhehoito, lastensuojelun laitospalvelu ja lastensuojelun perhehoito.","Palvelukuvaus ja huomautus jaettu eri sarakkeisiin, ei sisältömuutoksia",2022
1,1102,Vaalien järjestäminen,,,Kunnan keskusvaalilautakunnan sekä äänestysalueiden vaalilautakunnan vaalien järjestämiseen liittyvät tehtävät,,,2022
0,1101,Yleishallintopalvelut,,,Ensisijaisesti lakiperusteiset yleiseen hallintoon liittyvät palvelut. Huom. Tukipalveluille on oma palveluluokka (nro 5501). ,"Kunnan demokratiapalvelut. Kunnan ylintä päätäntä- ja toimeenpanovaltaa käyttävien hallintoviranomaisten toiminnot: kunnanvaltuusto, -hallitus ja -johtaja sekä näiden toimintojen keskitetyt valmistelutehtävät (esim. kunnanjohtajan sihteeri), ei kuitenkaan toimialoilla tapahtuva valmistelu. Yleishallintoon kuuluvat kunnanhallituksen alaiset jaostot ja toimielimet. 

Koko kunnan toimintaa ja strategiaa ohjaavat ja neuvoa antavat toiminnot (esim. lähidemokratia- ja tasa-arvoasiat, asukkaiden osallistumis- ja vaikuttamismahdollisuuksien edistäminen (esimerkiksi vanhus- ja vammaisneuvostot, nuorisovaltuusto). 

Kunnan strategista, laaja-alaista ja pitkän aikavälin kehittämistä ja suunnittelua tukevat palvelut sekä niitä tukeva tiedonhankinta ja jalostus. Edellä kuvattuja palveluita ovat kuntastrategian valmistelu, laadinnan ohjaus, seuranta sekä näiden kehittäminen. Lisäksi palveluluokkaan kuuluvat myös kuntastrategiaa toteuttavien poikkihallinnollisten erillisohjelmien ja -suunnitelmien laadinta sekä kunnan edunvalvonta. Strategisen tason kuntakehityspalvelut kuuluvat yleishallintoon siltä osin, kun ne eivät ole jotain muuta varsinaista palvelua, kuten elinkeinojen edistämistä. Palveluluokkaan sisältyy myös konserniohjaus - ja valvonta

Varautuminen ja valmiussuunnittelu. 

Tiedonohjaussuunnitelman mukainen keskitetty asianhallinta, tiedonhallinta, arkistointi, arkiston tietopalvelu ja päätösten tiedoksi antaminen. 

Tarkastuslautakunnat, sisäinen tarkastus ja tarkastustoimi. 

Verotuskustannukset

Maakunnallinen yhteistyö, kuntayhteistyö ",,2022
39,2531,Kotisairaalahoito,Erittelemätön perusterveydenhuollon avohoito,,sairaalahoidon korvaava määräaikainen tehostetun kotisairaanhoidon palvelu,"Kotisairaalahoito on Terveydenhuoltolain (1326/2010) 25§:n mukaan määräaikaista, tehostettua kotisairaanhoitoa. Kotisairaalahoidon yhteydessä annettavat hoitosuunnitelman mukaiset hoitotarvikkeet sisältyvät hoitoon. Kotisairaalahoito voi olla perusterveydenhuollon, erikoissairaanhoidon tai niiden yhdessä järjestämä palvelu. ",,2022
18,2233,Sosiaalihuoltolain mukainen liikkumista tukeva palvelu,Erittelemättömät ikääntyneiden palvelut,,Sosiaalihuoltolain perusteella myönnetty liikkumista tukeva palvelu,Palveluun ei kirjata vammaispalvelulain tai erityishuoltolain perusteella myönnettyä kuljetuspalvelua.,Täydennetty huomautusta,2022
13,2201,Iäkkäiden laitospalvelu,,,Iäkkäille tarkoitettu laitospalvelu,"Palveluun ei kirjata perustason terveydenhuollon vuodeosastohoitoa. Asukkaille tarjotut perusterveydenhuollon palvelut (mm. lääkäri-, laboratorio- ja kuvantamispalvelut) kirjataan perusterveydenhuollon luokkiin.",,2022
20,2235,Iäkkäiden kotihoito,,,"Iäkkäille tarkoitettu kotihoito, joka sisältää kotipalvelun ja perustason kotisairaanhoidon sekä niiden tukipalvelut.","Asukkaille tarjotut perusterveydenhuollon palvelut (mm. lääkäri-, laboratorio- ja kuvantamispalvelut) kirjataan perusterveydenhuollon luokkiin.Tehostettu kotisairaanhoito kirjataan luokalle Kotisairaalahoito. Nämä palvelut on tilikaudelta 2021 raportoitu palveluluokalla 2321 Muiden kuin lapsiperheiden kotihoito sekä iäkkäiden kotona asumisen tukeminen.",Uusi palveluluokka 2022 alkaen,2022
30,2285,Vammaisten sosiaalityö ja -ohjaus ja päiväaikainen toiminta,Erittelemättömät vammaisten palvelut,,"Vammaisten kuntoutusohjaus, sosiaaliohjaus, sosiaalityö, sosiaalinen kuntoutus ja sopeutumisvalmennus sekä vammaisten henkilöiden työ- ja päivätoiminta sekä vammaispalvelulain ja erityishuoltolain mukainen vammaisten aamu- ja iltapäivätoiminta sekä loma-ajan hoito. ",,,2022
38,2530,Erittelemätön perusterveydenhuollon avohoito,Erittelemätön perusterveydenhuollon avohoito,,Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa.,"Luokalle kirjataan kotisairaalahoito, kouluterveydenhuollon palvelut, opiskeluterveydenhuollon palvelut, perustason lääkinnällinen avokuntoutus, perustason vastaanottopalvelut, työterveyshuolto ja äitiys- ja lastenneuvolapalvelut. ",Palvelukuvaus ja huomautus jaettu eri sarakkeisiin. ,2022
37,2455,Mielenterveyskuntoutujien ympärivuorokautinen asumispalvelu,Erittelemätön perustason päihde- ja mielenterveystyö,,"mielenterveyskuntoutujien tehostetussa ympärivuorokautisessa palveluasumisessa vaikeasti toimintarajoitteinen kuntoutuja tarvitsee jatkuvasti tukea, ohjausta ja valvontaa ympärivuorokautisesti ryhmäasunnossa",,,2022
36,2454,Mielenterveyskuntoutujien asumispalvelu,Erittelemätön perustason päihde- ja mielenterveystyö,,mielenterveyskuntoutujien asumispalvelut sisältää palveluasumisen. Se on siten intensiivistä ja pitkäjänteistä kuntoutusta mielenterveysongelman vuoksi sekä omatoimisuuden ja asumisen tiivistä harjoittelua joko ryhmäasunnossa tai itsenäisessä asunnossa.,Mielenterveyskuntoutujien palveluasuminen on usein yhteisöllistä asumista ryhmäasunnossa ja kuntoutusmetodista riippuen myös tavallista palveluasumista itsenäisessä asunnossa. Henkilöstöä on paikalla päivisin ja puhelinpäivystys toimi ympärivuorokautisesti.,,2022
21,2241,Iäkkäiden muu kotona asumisen tukeminen,,,"Iäkkäiden perhetyö, sosiaalinen kuntoutus, tuettu asuminen, asunnon muutostyöt sekä päivä- ja päiväsairaalatoiminta. 65 vuotta täyttäneille omaishoidon tuen järjestämiseen liittyvät kustannukset, kuten maksetut hoitopalkkiot (ml. niiden sivukulut), omaishoidon valmennus, koulutus ja työnohjaus. ","Palveluun ei kirjata vammaisten asunnon muutostöitä ja muiden asiakasryhmien päivätoimintaa.Varsinaisina sosiaali- ja terveyspalveluina annettu omaishoidon tuki kirjataan ko. palvelun luokkaan (esim. tehostettu palveluasuminen, terveystarkastukset jne.) Asukkaille tarjotut perusterveydenhuollon palvelut (mm. lääkäri-, laboratorio- ja kuvantamispalvelut) kirjataan perusterveydenhuollon luokkiin.Nämä palvelut on tilikaudelta 2021 raportoitu palveluluokalla 2321 Muiden kuin lapsiperheiden kotihoito sekä iäkkäiden kotona asumisen tukeminen.",Uusi palveluluokka 2022 alkaen,2022
34,2452,Päihdekuntoutujien laitoshoito,Erittelemätön perustason päihde- ja mielenterveystyö,,Päihdeongelmaisten ympärivuorokautinen hoito ja kuntoutus päihdeongelmien vuoksi,"Päihdekuntoutujien laitoshoidon palveluluokkaan kirjataan kuuluvaksi ei-erikoissairaanhoitojohtoisen yksikön  tuottamat terveydenhuoltolain, sosiaalihuoltolain, päihdehuoltolain ja mielenterveyslain ja sekä opioidikorvaushoitoa koskevan  asetuksen mukaiset mukainen päihdeongelmaisille annettavat ympärivuorokautiset hoito- ja kuntoutuspalvelut. Ne voivat olla lyhytaikaisia päihteiden käytön katkaisemiseen liittyvät hoitopalvelut (selviämis- ja katkaisuhoito) sekä pitkäaikaisempia päihteettömän ympäristön tarjoavia hoito- ja kuntoutuspalvelut. ",,2022
33,2451,Päihdekuntoutujien asumispalvelu,Erittelemätön perustason päihde- ja mielenterveystyö,,Päihdekuntoutujien asumispalvelut ovat päihdeongelmaisille kohdennettuja sosiaalihuollon asumispalveluja tilapäisestä asumisesta ympärivuorokautiseen palveluasumiseen asti (sis. palveluasumisen ja tehostetun palveluasumisen).,"Päihdekuntoutujien asumispalvelut on sosiaalipalveluna toteutettavaa palveluasumista, tehostettua palveluasumista tai tilapäistä asumista. Palveluasuminen sisältää osavuorokautisesti asiakkaan tarvitsemaa hoitoa ja huolenpitoa sekä asumiseen liittyviä palveluja. Tehostetussa palveluasumisessa palvelunantaja järjestää sosiaalihuollon asiakkaalle palveluasunnon ja sinne asiakkaan tarvitsemaa hoitoa ja huolenpitoa sekä asumiseen liittyviä palveluja asiakkaan ympärivuorokautiseen hoidon ja huolenpidon tarpeeseen. Tilapäisessä asumispalvelussa asiakkaalle järjestetään väliaikainen majoitus ja tarvittava tuki ja apu yllättävään ja satunnaiseen tarpeeseen, kuten hätämajoitusta, mutta tilapäisellä asumisella ei kuitenkaan tarkoiteta sosiaalihuollon asiakkaan lyhytaikaista asumispalveluissa annettavaa palvelujaksoa, jossa asiakas esimerkiksi odottaa pääsyä toiseen palveluun. Asumispalvelu voi olla joko päihteetöntä tai päihteiden käytön sallivaa.",,2022
32,2450,Erittelemätön perustason päihde- ja mielenterveystyö,Erittelemätön perustason päihde- ja mielenterveystyö,,Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa.,"Luokkaa kirjataan päihdekuntoutujien asumispalvelu, päihdekuntoutujien laitoshoito, päihde- ja mielenterveysongelmaisten avun, tuen, hoidon ja kuntoutuksen avopalvelukokonaisuus, mielenterveyskuntoutujien asumispalvelu ja mielenterveyskuntoutujien ympärivuorokautinen asumispalvelu.",Palvelukuvaus ja huomautus jaettu eri sarakkeisiin. ,2022
31,2321,Muiden kuin lapsiperheiden kotihoito sekä iäkkäiden kotona asumisen tukeminen (voimassa 31.12.2021 asti),Lakkautettu ,,,,,2022
35,2453,"Päihde- ja mielenterveys-ongelmaisten avun, tuen, hoidon ja kuntoutuksen avopalvelu-kokonaisuus",Erittelemätön perustason päihde- ja mielenterveystyö,,"päihde- ja mielenterveyskuntoutujille tarkoitettu avopalvelukokonaisuus, joka sisältää asiakasohjauksen, sosiaalityön, sosiaalinen kuntoutuksen, sosiaaliohjauksen, tukisuhdetoiminnan, päivätoiminnan ja tuetun asumisen sekä ei-erikoissairaanhoitojohtoisen terveydenhuollon avohoidon ja kuntoutuksen palveluja.","Palveluluokkaan kirjataan kuuluvaksi terveydenhuoltolain, sosiaalihuoltolain, päihdehuoltolain ja mielenterveyslain ja sekä opioidikorvaushoitoa koskevan  asetuksen, tartuntatautilain ja –asetuksen sekä ehkäisevän päihdetyön järjestämistä koskevan lain mukaiset päihde- ja/tai mielenterveysongelmaisille annettavat palvelukokonaisuudet ei-erikoissairaanhoidon alaisissa, päihde- ja/tai mielenterveysongelmaisten hoitoon ja kuntoutukseen erikoistuneissa yksiköissä. Tähän palveluluokkaan sisältyvät A-klinikkatyyppisten  ja muiden  päihdehuoltoyksiköiden (ml. huumeklinikat, päihdeongelmaisten päiväkeskukset tms.) sekä vastaavien mielenterveyskuntoutujille suunnattujen avomuotoisten matalakynnyksisten, ei-erikoissairaanhoitojohtoisten hoito- ja kuntoutuspalvelujen  terveydenhuoltopalvelut sekä sosiaalihuoltolain mukaisista palveluista yksikössä toteutettava sosiaalityö, -ohjaus ja -kuntoutus, tukisuhdetoiminta sekä työ- ja päivätoiminta. Tähän sisältyvät myös eriytettävänä palvelukokonaisuutenaan toteutettava huumeiden käyttäjien sosiaali- ja terveysneuvontatoiminta pistovälineiden vaihtoineen, rahapeliongelmien hoitoon erikoistuneet yksilö- ja ryhmämuotoisista palvelut, etsivä ja jalkautuva työ syrjäytyneiden päihde- ja mielenterveysongelmaisten keskuudessa sekä vastaavantyyppiset muut matalakynnyksiset päihteiden käytön haittojen vähentämiseen tähtäävät palvelukokonaisuudet (esim. terapiat). Palveluun ei kirjata kuntouttavaa työtoimintaa.",,2022
29,2284,Vammaisten perhehoito,Erittelemättömät vammaisten palvelut,,Vammaisten ammatillinen perhehoito ja perhehoito (ml. kiertävät perhehoitajat),"Palveluun kirjataan myös mielenterveysasiakkaiden ja pitkäaikaissairaiden perhehoito. Palveluun ei kirjata iäkkäiden perhehoitoa.
",,2022
27,2282,Vammaisten asumisen muu tuki ja palvelut kuin ympärivuorokautisen avun ja tuen sisältävät asumispalvelut,Erittelemättömät vammaisten palvelut,,"Vammaisten asunnon muutostyöt, tuettu asuminen ja palveluasuminen sekä alle 65-vuotialle omaishoidon tuen järjestämiseen liittyvät kustannukset, kuten maksetut omaishoidon tuen hoitopalkkiot (ml. niiden sivukulut) ja VPLn mukainen taloudellinen tuki ","Palveluina annettu omaishoidon tuki kirjautuu ko. palvelun luokkaan (esim. tehostettu palveluasuminen).
Asukkaille tarjotut perusterveydenhuollon palvelut (mm. lääkäri-, laboratorio- ja kuvantamispalvelut) kirjataan perusterveydenhuollon luokkiin.
",,2022
26,2281,Henkilökohtainen apu,Erittelemättömät vammaisten palvelut,,Vammaisille annettu henkilökohtainen apu,"Palveluun kirjataan myös ikääntyneille vammaispalvelulain perusteella annettu henkilökohtainen apu. 
Palveluluokalle kohdistetaan kaikki henkilökohtaisen avun järjestämisestä aiheutuvat kustannukset. 

",,2022
22,2325,Muiden kuin lapsiperheiden ja iäkkäiden kotihoito,,,"Vammaisille ja muille kuin lapsiperheille ja 65 vuotta täyttäneille tarkoitettu kotihoito, joka sisältää kotipalvelun ja perustason kotisairaanhoidon sekä niiden tukipalvelut","Asukkaille tarjotut perusterveydenhuollon palvelut (mm. lääkäri-, laboratorio- ja kuvantamispalvelut) kirjataan perusterveydenhuollon luokkiin.Tehostettu kotisairaanhoito kirjataan luokalle Kotisairaalahoito. Nämä palvelut on tilikaudelta 2021 raportoitu palveluluokalla 2321 Muiden kuin lapsiperheiden kotihoito sekä iäkkäiden kotona asumisen tukeminen.",Uusi palveluluokka 2022 alkaen,2022
25,2280,Erittelemättömät vammaisten palvelut,Erittelemättömät vammaisten palvelut,,Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa.,"Luokalle kirjataan henkilökohtainen apu, vammaisten asumisen muu tuki ja palvelut kuin ympärivuorokautisen avun ja tuen sisältävät asumispalvelut, vammaisten liikkumista tukeva palvelu, vammaisten perhehoito ja vammaisten sosiaalityö ja -ohjaus ja päiväaikainen toiminta.",Palvelukuvaus ja huomautus jaettu eri sarakkeisiin. ,2022
24,2261,Vammaisten tehostettu palveluasuminen,,,Vammaisten ympärivuorokautisen avun ja tuen sisältävät asumispalvelut,"Asukkaille tarjotut perusterveydenhuollon palvelut (mm. lääkäri-, laboratorio- ja kuvantamispalvelut) kirjataan perusterveydenhuollon luokkiin.",,2022
23,2251,Vammaisten laitospalvelu,,,"Vammaisten kuntoutustyyppinen laitoshoito (on lyhytaikaista, kuntouttavaa ja tulee olemaan osa keskitettyjä integroituja vaativia sote-palveluja) Tähän kirjataan myös pitkäaikainen laitoshoito vammaisten laitoksissa siihen asti, kun sitä vielä järjestetään",,,2022
28,2283,Vammaisten liikkumista tukeva palvelu,Erittelemättömät vammaisten palvelut,,"Vammaispalvelulain tai erityishuoltolain perusteella myönnetyt kuljetuspalvelut. Nämä ovat palveluita, joihin asiakkaalla on em. lakien perusteella subjektiivinen oikeus. ","Palveluun ei kirjata sosiaalihuoltolain mukaista liikkumista tukevaa palvelua. 
",Täydennetty palvelukuvausta,2022
44,2542,Suun terveydenhuollon perustason palvelut,Erittelemätön suun terveydenhuolto,suunperustaso,suun terveydenhuollon perustason palvelut ,"Luokka sisältää kaikki perustason palvelut riippumatta hoitopaikasta tai hoitohenkilön ammattipätevyydestä. Suun terveydenhuoltoon sisältyvät Terveydenhuoltolain (1326/2010) 26 §:n mukaiset palvelut: 1) väestön suun terveyden edistäminen ja seuranta, 2) terveysneuvonta ja terveystarkastukset, 3) suun sairauksien tutkimus ja ehkäisy sekä hoito ja 4) potilaan erityisen tuen ja tutkimusten tarpeen varhainen tunnistaminen sekä potilaan hoito ja tarvittaessa jatkotutkimuksiin ja -hoitoon ohjaaminen. Suun terveydenhuollon perustason palvelut -luokkaan sisältyvät myös Terveydenhuoltolain (1326/2010) 15 §:n mukainen lapsen suun terveydentilan seuranta, 16 §:n mukainen kouluterveydenhuollon oppilaan suun terveydenhuolto sekä 17 §:n mukainen opiskeluterveydenhuollon suun terveydenhuolto. ","Terveydenhuoltolaki (1326/2010) 15 §, 16 §, 17 § ja 26 §",2021
49,2603,Ensihoitokeskus,Erittelemätön erikoissairaanhoito,ensihoitokeskus,erityisvastuualueen ensihoitokeskuksen toiminta,Erityisvastuualueen sairaanhoitopiirien kuntayhtymien on sovittava ensihoitokeskuksen tehtävien järjestämisestä erikoissairaanhoidon järjestämissopimuksessa. ,Terveydenhuoltolaki (1326/2010) 46 § (29.12.2016/1516),2021
48,2602,Somaattinen erikoissairaanhoito,Erittelemätön erikoissairaanhoito,somaattinenesh,"somaattisen erikoissairaanhoidon avohoito, vuodeosastohoito, päiväkirurgia sekä päiväsairaanhoito (pl. suun terveydenhuollon erityistason palvelut) muualla kuin lastentautien yksiköissä. 
Tähän luokkaan kirjataan myös perusterveydenhuollossa toteutettu erikoissairaanhoito.","Somaattisen erikoissairaanhoidon avohoidolla tarkoitetaan vastaanottopalveluja, joihin voi toisinaan liittyä polikliinisiä toimenpiteitä kuten suolikanavan tähystystoimenpiteitä (mahalaukku, paksusuoli), keuhkoputken tähystyksiä, sydämen ultraäänitutkimuksia tai muita vastaavan kaltaisia tutkimuksia tai hoitoja. Toimenpiteisiin voi liittyä paikallispuudutteiden käyttö ja lievä sedaatio väsyttävillä ja rauhoittavilla lääkkeillä. 

Päiväkirurgialla tarkoitetaan operatiivisten erikoisalojen pääosin kiireettömiä toimenpiteitä ja leikkauksia, joissa potilaat saapuvat toimenpiteeseen leikkauspäivänä ja kotiutuvat pääsääntöisesti saman päivän aikana.  Toimenpiteissä voidaan potilas nukuttaa tai käyttää laajempia johtopuudutuksia tai selkäydinpuudutuksia. Päiväkirurgiaa sopivat esimerkiksi sappileikkaukset ja tyräleikkaukset. Osa päiväkirurgista leikkauksista voidaan tehdä kokonaan paikallispuudutuksessa,  kuten kaihileikkaukset. 

Avohoitona voidaan toteuttaa päiväsairaalatoimintaa, jossa potilas saa hoitoja usein toistetusti päiväsairaalassa, mutta kotiutuu yöksi. Tällöin voidaan toteuttaa vaativimpia ja aikaa vieviä hoitoja ja tutkimuksia, joissa potilas tarvitsee lepopaikan, mutta ei hoito ei edellytä yöpymistä sairaalassa. Hän voi yöpyä kotona tai potilashotellissa. 

Vuodeosastohoidolla tarkoitetaan laitoshoitoa, jossa potilas sisäänkirjoitetaan sairaalaan tämän saapuessa vuodeosastolle ja uloskirjoitetaan vuodeosastolta lähtiessä. 

Keskitetyt eli perusterveydenhuollon ja erikoissairaanhoidon yhteisten apuvälineyksiköiden kustannukset kirjataan tähän luokkaan. Perusterveydenhuollon apuvälineyksiköt kirjaavat kustannukset perusterveydenhuollon lääkinnällinen avokuntoutus -luokkaan. 

Palveluluokalle kohdistetaan myös aikuisten ja lasten obduktiot. ",,2021
47,2601,Aikuispsykiatrinen erikoissairaanhoito,Erittelemätön erikoissairaanhoito,psykiatrinenaik,erikoislääkärijohtoisessa psykiatrisessa yksikössä toteutettu 23 vuotta täyttäneiden psykiatrinen erikoissairaanhoito poikkeuksena nuorisopsykiatria. Aikuispsykiatriassa hoidetut nuorisopsykiatriset potilaat raportoidaan tässä luokassa.,"Psykiatrisessa erikoissairaanhoidossa annettavat palvelut palvelumuodosta riippumatta: Sisältää Hilmo-erikoisalat 70 (Psykiatria), 70F (Geriatrinen psykiatria) ja 70Z (Oikeuspsykiatria). Lisäksi tässä luokassa raportoidaan ne nuorisopsykiatrian (ea=74) tapahtumat, jotka hoidettu aikuispsykiatrian osastolla.",Terveydenhuoltolaki (1326/2010) 53 § ,2021
46,2600,Erittelemätön erikoissairaanhoito,Erittelemätön erikoissairaanhoito,eriterikoissairaan,"Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa. Luokalle kirjataan aikuispsykiatrinen erikoissairaanhoito, somaattinen erikoissairaanhoito, ensihoitokeskus, ensihoitopalvelu, lastentautien yksikössä annettu somaattinen erikoissairaanhoito, lastenpsykiatrinen ja nuorisopsykiatrinen erikoissairaanhoito ja ympärivuorokautiset päivystyspalvelut.",,,2021
45,2561,Perustason vuodeosastohoito,,perusvuodehoito,perustason vuodeosastohoito,"Ei sisällytetä terveyskeskusten erikoislääkärijohtoisten yksiköiden vuodeosastohoitoa, joka kirjataan palveluluokkaan ""Somaattinen erikoissairaanhoito"". Luokka sisältää saattohoidon tai muun palliatiivisen hoidon.",,2021
40,2537,Työterveyshuolto,Erittelemätön perusterveydenhuollon avohoito,tyoterveyshuolto,"työterveyshuollon palvelut, jotka järjestetään kunnan järjestämisvastuun perusteella  (terveydenhuoltolaki 1326/2010, § 18 ) kunnan alueen työnantajille, yrittäjille ja omaa työtään tekeville sekä työterveyshuollon palvelut, jotka järjestetään työnantajan roolissa omalle henkilökunnalle (työterveyshuoltolaki 1383/2001, §4 )","Terveydenhuoltolain perusteella järjestettävän työterveyshuollon kunta voi tuottaa itse tai yhdessä toisen kunnan kanssa (18 §, 1 ja 2 momentti) tai ostaa palveluntuottajalta (18§, 1-3 mom). Jos kunta tuottaa 18§ 3 momentin mukaisia palveluja, pitää toiminta yhtiöittää. 

Työterveyshuoltolain perusteella järjestettävät työterveyshuoltopalvelut (työnantajan roolissa omalle henkilökunnalle järjestetyn työterveyshuollon) kunta voi tuottaa yksin tai yhdessä toisen kunnan kanssa tai ostaa muulta palveluntuottajalta. Nämä omalle henkilökunnalle järjestetyn työterveyshuollon kustannukset kohdennetaan suoraan tai edelleen varsinaisille palveluluokille kustannuslaskentasuosituksen mukaan.
",,2021
43,2541,Suun terveydenhuollon erityistason palvelut,Erittelemätön suun terveydenhuolto,suunerityistaso,ei-sairaalatasoiset vaativat suun terveydenhuollon palvelut sekä keskussairaala- ja yliopistosairaalatasoiset suun terveydenhuollon palvelut,"Sisältää ei-sairaalatasoiset vaativat suun terveydenhuollon palvelut sekä keskussairaala- ja yliopistosairaalatasoiset suun terveydenhuoltopalvelut. Luokka sisältää kaikki vaativan tason palvelut riippumatta hoitopaikasta tai hoitohenkilön ammattipätevyydestä. Luokka sisältää suu- ja leukakirurgian palvelut, oikomishoidon palvelut, protetiikan ja purentafysiologian erikoisalapalvelut, parodontologian palvelut, kariologian ja endodontian palvelut, suupatologian palvelut ja oikeushammaslääketieteen palvelut. Kohdennukset suun terveydenhuollon luokituksen sekä 58-alkuisten erikoisalakoodien avulla.",,2021
42,2540,Erittelemätön suun terveydenhuolto,Erittelemätön suun terveydenhuolto,eritsuunterveys,Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa. Luokalle kirjataan suun terveydehuollon erityistason palvelut ja suun terveydenhuollon perustason palvelut.,,,2021
41,2538,Äitiys- ja lastenneuvolapalvelut,Erittelemätön perusterveydenhuollon avohoito,aitiysneuvola,"raskaana olevien naisten, lasta odottavien perheiden sekä alle oppivelvollisuusikäisten lasten ja heidän perheidensä neuvolapalvelut","Äitiys- ja lastenneuvolapalvelut (pl. suun terveydenhuollon palvelut) sisältävät seuraavat terveydenhuoltolain (1326/2010) 15§:n mukaiset palvelut: 1)  sikiön terveen kasvun, kehityksen ja hyvinvoinnin sekä raskaana olevan ja synnyttäneen naisen terveyden määräajoin toteutettava ja yksilöllisen tarpeen mukainen seuranta ja edistäminen, 2) lapsen terveen kasvun, kehityksen ja hyvinvoinnin edistäminen sekä seuranta, 3) vanhemmuuden ja perheen muun hyvinvoinnin tukeminen, 4) lapsen kodin ja muun kasvu- ja kehitysympäristön sekä 5) perheen elintapojen terveellisyyden edistäminen sekä lapsen ja perheen erityisen tuen ja tutkimusten tarpeen varhainen tunnistaminen sekä lapsen ja perheen tukeminen ja tarvittaessa tutkimuksiin tai hoitoon ohjaaminen. Äitiys- ja lastenneuvolapalveluiden käyntitiedot raportoidaan THL:n Avohilmon palvelumuodoissa T21 (Äitiysneuvola) ja T22 (Lastenneuvola). Terveydenhuoltolain 15§:n mukainen lapsen suun terveydentilan seuranta sisällytetään palveluluokkaan ""Suun terveydenhuollon perustason palvelut"".","Terveydenhuoltolaki 1326/2010) 15 § ja Avohilmo, perusterveydenhuollon avohoidon ilmoitus 2018.",2021
39,2536,Perustason vastaanottopalvelut,Erittelemätön perusterveydenhuollon avohoito,perustasovastaanot,perustason terveydenhuollon avovastaanottopalvelut,"Sisältää perustason avovastaanottopalvelut pl. ""Perustason lääkinnällinen avokuntoutus"" sekä lasten- ja äitiysneuvolapalvelut sekä koulu- ja opiskeluterveydenhuollon palveluluokkien palvelut. Luokka sisältää myös kiirevastaanottotoiminnan ja ilta- tai viikonloppuvastaanottotoiminnan.
Palveluja ovat:
1) terveydenhuoltolain 13 §:ssä tarkoitettu terveysneuvonta ja terveystarkastukset; 
2) yleislääketieteen alaan kuuluva, terveydenhuollon ammattihenkilön suorittama, vastaanotolla, kotikäynneillä tai etäyhteyksien avulla toteutettava asiakkaiden oireiden, toimintakyvyn ja sairauksien tutkimus, toteaminen ja hoito, pl. kotisairaalahoito;
3) edellä mainituissa kohdissa tarkoitettuihin palveluihin liittyvä terveydenhuoltolain 29 §:n 2 momentin 1 kohdassa tarkoitettu kuntoutusneuvonta ja -ohjaus ja 2 kohdassa tarkoitettu toiminta- ja työkyvyn sekä kuntoutustarpeen arviointi;
4) terveydenhuoltolain 22 §:ssä tarkoitettujen todistusten antaminen silloin kun ne liittyvät edellä mainituissa kohdissa tarkoitettuihin palveluihin;
5) edellä mainittuihin palveluihin kuuluvat laboratorio- ja kuvantamispalvelut.
6) muut kuin lääkinnälliseen kuntoutukseen liittyvät terapiat, esim. jalkaterapia

Palveluluokkaan kohdistetaan myös sosiaalihuollon laitos-, asumis- ja kotiin vietäviin palveluihin tarjotut perusterveydenhuollon palvelut (mm. lääkäri-, laboratorio- ja kuvantamispalvelut).",,2021
